Ticker,Name,Market Cap,Price
"MCRB","Seres Therapeutics Inc",1997374184.2,21.8
"RPAY","Repay Holdings Corporation - Class A",1996180158.2,22.58
"AKO-B","Embotelladora Andina S.A.",1995725797.2085,12.625
"VLDR","Velodyne Lidar Inc",1988482087.68,10.56
"HTGC","Hercules Capital Inc",1988468949.1,17.18
"GSBD","Goldman Sachs BDC Inc",1986575368.48,19.54
"NS","Nustar Energy L P",1985712181.6,18.13
"ESRT","Empire State Realty Trust Inc - Class A",1983562958.9,11.47
"MAG","MAG Silver Corp",1977801724.92,20.86
"TWO","Two Harbors Investment Corp",1976286514.68,7.22
"CLBK","Columbia Financial Inc",1961510235.3,18.06
"SUBCY","Subsea 7 SA ADR",1949539720,9.975
"HOPE","Hope Bancorp Inc",1947401200.16,15.76
"AVIR","Atea Pharmaceuticals Inc",1944318019.5,23.5
"EB","Eventbrite Inc - Class A",1943737514.62,20.74
"CNR","Cornerstone Building Brands Inc",1943452652.46,15.46
"WRE","Washington Real Estate Investment Trust",1926777595.52,22.78
"SRNGU","Soaring Eagle Acquisition Corp - Units (1 Ord Share Class A & 1/5 War)",1925625000,10.27
"MFA","MFA Financial Inc",1923987819.6,4.36
"PAX","Patria Investments Ltd - Class A",1919214000,14.36
"IRWD","Ironwood Pharmaceuticals Inc - Class A",1918495999.765,11.845
"BTRS","BTRS Holdings Inc - Class 1",1908444780,12.2
"SRNE","Sorrento Therapeutics Inc",1906227407.7,6.65
"PBF","PBF Energy Inc - Class A",1902465055.87,15.83
"AVAH","Aveanna Healthcare Holdings Inc",1895327215.68,10.52
"PING","Ping Identity Holding Corp",1891657435.74,23.06
"CYH","Community Health Systems Inc",1877702920.24,14.21
"PMT","Pennymac Mortgage Investment Trust",1874540019,19.14
"FGEN","FibroGen Inc",1867439161.29,20.27
"BV","BrightView Holdings Inc",1864920582.18,17.73
"DQWS","DSwiss Inc",1862141400,9
"HIMX","Himax Technologies",1861045116.21,10.71
"KN","Knowles Corp",1854941065.5,19.99
"SRNG","Soaring Eagle Acquisition Corp - Class A",1854375000,9.89
"CBD","Cia Brasileira De Distr-pao De Acucar ADR ()",1854309327.97,6.86
"YPF","YPF",1844636999.17,4.69
"AKR","Acadia Realty Trust",1844365652.37,21.37
"MNR","Monmouth Real Estate Investment Corp - Class A",1843159875,18.75
"NWBI","Northwest Bancshares Inc",1836259534.59,14.43
"SVC","Service Properties Trust",1829544546.3,11.1
"GB","Global Blue Group Holding AG",1824255532.52,10.87
"BSIG","BrightSphere Investment Group Inc",1818806515.2,22.92
"CFFN","Capitol Federal Financial",1814244033.72,13.07
"IBRX","ImmunityBio Inc",1814026466.07,16.59
"HSC","Harsco Corp",1810517958.1,22.87
"ARRY","Array Technologies Inc",1809671154.75,14.25
"GOEV","Canoo Inc - Class A",1792839330.65,7.55
"FOE","Ferro Corp",1791298357.84,21.68
"INFN","Infinera Corp",1785520298.9,8.71
"GNL","Global Net Lease Inc",1784808455.9,18.71
"AMK","Assetmark Financial Holdings Inc",1783222265.55,24.61
"WETG","WeTrade Group",1771618688.4,5.6
"ZUO","Zuora Inc - Class A",1765390000,14.59
"HIMS","Hims & Hers Health Inc - Class A",1762346421.63,9.21
"AMRX","Amneal Pharmaceuticals Inc - Class A",1738840328.06,5.78
"SUMO","Sumo Logic Inc",1732611115.34,16.87
"SPPJY","Sappi Ltd",1724506220.255,3.145
"KRG","Kite Realty Group Trust",1724348646.8,20.41
"TDUP","ThredUp Inc - Class A",1717267192.2,18.9
"EVH","Evolent Health Inc - Class A",1716880989.25,19.75
"CERE","Cerevel Therapeutics Holdings Inc",1714424826.9,13.47
"IAG","Iamgold Corp",1706385071.84,3.59
"AMRN","Amarin Corp",1705412979.36,4.32
"OCGN","Ocugen Inc",1704765383.8,8.6
"SAND","Sandstorm Gold Ltd",1704560811.39,8.73
"GZTGF","Gazit-Globe Ltd",1702638370.4,6.89
"PTEN","Patterson-UTI Energy Inc",1692873796.74,8.98
"SSP","E.W. Scripps Co. - Class A",1692539053.26,20.57
"NYMT","New York Mortgage Trust Inc",1691555367.84,4.46
"SKT","Tanger Factory Outlet Centers Inc",1688468289.75,16.75
"DEA","Easterly Government Properties Inc",1688322283.89,20.13
"SCS","Steelcase Inc - Class A",1666723989.59,14.41
"DK","Delek US Holdings Inc",1665158818.96,22.54
"VLRS","Controladora Vuela Cia De Aviacion",1659189347.984,17.96
"IRT","Independence Realty Trust Inc",1656832644.64,16.22
"KURA","Kura Oncology Inc",1652865579.2,24.94
"ADCT","Adc Therapeutics SA",1643375451.06,21.42
"NWBO","Northwest Biotherapeutics Inc",1642167175.35,1.95
"PCT","PureCycle Technologies Inc",1640026080,13.86
"ILPT","Industrial Logistics Properties Trust",1630568167.36,24.97
"CLNE","Clean Energy Fuels Corp",1625329754.67,8.13
"NXE","NexGen Energy Ltd",1611323465.1,4.62
"CODI","Compass Diversified Holdings",1610818000,24.82
"RTLR","Rattler Midstream Lp",1606017280.21,10.81
"TTMI","TTM Technologies Inc",1604626246.14,14.97
"SMWB","Similarweb Ltd",1589023656.84,21.39
"TSLX","Sixth Street Specialty Lending Inc",1588172259.33,21.87
"EVRI","Everi Holdings Inc",1586196540,18
"DNMR","Danimer Scientific Inc - Class A",1572233398.2,17.8
"YEXT","Yext Inc",1571324662.4,12.59
"SGMO","Sangamo Therapeutics Inc",1566869284.53,10.89
"AUPH","Aurinia Pharmaceuticals Inc",1566370516.35,12.29
"CGNT","Cognyte Software Ltd",1565405373,23.8
"FRTA","Forterra Inc",1565133375.44,23.47
"FRO","Frontline Ltd",1563746259.11,7.91
"RAAS","Cloopen Group Holding Ltd",1563160354.74,9.51
"BNGO","Bionano Genomics Inc",1560504652,5.6
"LKNCY","Luckin Coffee Inc",1558161631.25,6.7
"IPOE","Social Capital Hedosophia Holdings Corp V - Class A",1557675000,15.48
"PACK","Ranpak Holdings Corp - Class A",1555063908,20.5
"ALVR","AlloVir Inc",1545637165.02,23.74
"NEXA","Nexa Resources S.A.",1540261045.93,11.63
"CAN","Canaan Inc",1540117833.18906,9.68
"CNDT","Conduent Inc",1531321950.2,7.21
"USAC","USA Compression Partners LP",1528101067.5,15.75
"HYLN","Hyliion Holdings Corporation - Class A",1523784040,8.95
"OII","Oceaneering International Inc",1520228724.84,15.24
"IMVT","Immunovant Inc",1518554266.5,15.5
"CLI","Mack-Cali Realty Corp",1517923757.77,16.73
"GPRO","GoPro Inc - Class A",1516685380.72,9.89
"GSHHY","Guangshen Railway Co. Ltd",1497459721.8,10.37
"HTLD","Heartland Express Inc",1495035179.25,18.71
"LX","LexinFintech Holdings Ltd",1489372482.95,8.24
"AROC","Archrock Inc",1488161697.96,9.66
"FCF","First Commonwealth Financial Corp",1483551122.22,15.42
"RIDE","Lordstown Motors Corp - Class A",1483266758.4,8.4
"MRTN","Marten Transport Ltd",1468437139.38,17.74
"NFH","New Frontier Health Corporation - Class A",1467257466.6,11.18
"TTCF","Tattooed Chef Inc - Class A",1465743543.83,18.01
"CENX","Century Aluminum Company",1460321843.94,16.21
"BPMP","BP Midstream Partners LP",1459787942.2,13.93
"AGTI","Agiliti Inc",1457372530.56,14.73
"LADR","Ladder Capital Corp - Class A",1455460922.88,11.52
"DBI","Designer Brands Inc - Class A",1454557144.32,20.09
"ATEC","Alphatec Holdings Inc",1448345398.98,14.86
"HNST","Honest Company Inc (The )",1441953922.41,15.93
"IPOF","Social Capital Hedosophia Holdings Corp VI - Class A",1434625000,9.98
"INVZ","Innoviz Technologies Ltd",1431925221.89,11.03
"ASZ-U","Austerlitz Acquisition Corp II - Units (1 Ord Share Class A & 1/4 War)",1431428562.84,10.02
"TBBK","Bancorp Inc (The)",1430052866.74,24.98
"CRK","Comstock Resources Inc",1424674636.34,6.13
"INO","Inovio Pharmaceuticals Inc",1423914968,6.8
"LNTH","Lantheus Holdings Inc",1417900504.35,21.01
"FMCC","Federal Home Loan Mortgage Corp",1410629230.01,2.17
"ARCE","Arco Platform Ltd - Class A",1402833034.68,24.74
"ASZ","Austerlitz Acquisition Corp II - Class A",1397142848.76,9.78
"PBI","Pitney Bowes Inc",1395169350,7.95
"ALEC","Alector Inc",1392735521.52,17.46
"FRSX","Foresight Autonomous Holdings Ltd",1388655754.2,4.44
"PGEN","Precigen Inc",1385038845.85,6.71
"LBPS","4d Pharma Plc",1380413317.5,10.5
"MTLS","Materialise Nv",1380276560,23.82
"HRTX","Heron Therapeutics Inc",1379783844.3,13.55
"AVO","Mission Produce Inc",1379270525.1,19.55
"ERF","Enerplus Corporation",1377569644,6.41
"CRIS","Curis Inc",1377187844.9,15.05
"NBLX","Noble Midstream Partners LP",1374409153.26,15.21
"OCFC","OceanFirst Financial Corp",1364113461.27,22.61
"WOW","WideOpenWest Inc",1362609882.16,15.64
"RXDX","Prometheus Biosciences Inc",1358606704.64,20.48
"GHG","GreenTree Hospitality Group Ltd",1348922706.67,13.07
"GEVO","Gevo Inc",1346578162.425,6.795
"PRCH","Porch Group Inc - Class A",1344808834.24,15.04
"LINX","Linx S.A.",1344803616,7.06
"BRMK","Broadmark Realty Capital Inc",1344292024.92,10.14
"TEO","Telecom Argentina S.A.",1343509865.472,5.12
"IMGN","Immunogen Inc",1341611839.92,6.71
"LAC","Lithium Americas Corp",1339607634.75,13.25
"SA","Seabridge Gold Inc",1339370885.16,18.94
"TGP","Teekay LNG Partners LP",1339049003.6,15.4
"GOGO","Gogo Inc",1335047619.78,12.18
"ENDP","Endo International plc",1334506464.72,5.72
"STKL","Sunopta Inc",1324017382.15,12.55
"REAL","Therealreal Inc",1321280771.25,14.55
"BKD","Brookdale Senior Living Inc",1320234642.37,7.13
"NGD","New Gold Inc",1319684608.12,1.94
"ALEX","Alexander & Baldwin Inc",1318948212.4,18.2
"WPF","Foley Trasimene Acquisition Corp - Class A",1318331250,10.19
"BRKL","Brookline Bancorp Inc",1318327050.54,16.86
"GLNG","Golar Lng",1310527640.48,11.92
"KOS","Kosmos Energy Ltd",1309835091.15,3.21
"MNTK","Montauk Renewables Inc",1309273660.35,9.21
"ARCO","Arcos Dorados Holdings",1307847027.63,6.31
"CDEV","Centennial Resource Development Inc - Class A",1306677125.52,4.68
"STAR","iStar Inc",1303596866.2,17.8
"TRVG","Trivago NV",1303293870.24,3.65
"DSGN","Design Therapeutics Inc",1299220641.92,23.36
"INVA","Innoviva Inc",1294980313.24,12.77
"TBA","Thoma Bravo Advantage - Class A",1291836000,10.14
"RES","RPC Inc",1290095443.52,5.98
"EXTR","Extreme Networks Inc",1284547048.87,10.19
"GOGL","Golden Ocean Group Ltd",1284216165.12,8.96
"TBIO","Translate Bio Inc",1278957566,17
"HA","Hawaiian Holdings Inc",1273336137.15,24.915
"DNOW","NOW Inc",1272342734.62,11.54
"STEM","Stem Inc - Class A",1264250000,19.45
"CMRE","Costamare Inc",1263135826.92,10.34
"ACEL","Accel Entertainment Inc - Class A1",1257960888.87,13.47
"NMFC","New Mountain Finance Corp",1257787172.58,12.99
"LC","LendingClub Corp",1252298262.88,12.88
"OEC","Orion Engineered Carbons S.A.",1251990590.3,20.8
"CYDY","Cytodyn Inc",1250265456.96,2.04
"CVII-U","Churchill Capital Corp VII - Units (1 Ord Share Class A & 1/5 War)",1250000000,10
"KAHC-U","KKR Acquisition Holdings I Corp - Units (1 Ord Share Class A & 1/4 War)",1248750000,9.99
"BPFH","Boston Private Financial Holdings Inc",1248509819.94,15.14
"IMAX","Imax Corp",1238800541.72,20.87
"FSM","Fortuna Silver Mines Inc",1234111370.9,6.7
"RDNT","Radnet Inc",1232653912.21,23.39
"AXL","American Axle & Manufacturing Holdings Inc",1232213977.02,10.81
"CDMO","Avid Bioservices Inc",1231778927.25,20.25
"NXGN","NextGen Healthcare Inc",1230836916.98,18.37
"RWT","Redwood Trust Inc",1230684312.33,10.89
"VET","Vermilion Energy Inc",1226935290.93,8.19
"KAHC","KKR Acquisition Holdings I Corp - Class A",1223750000,9.79
"CLNC","Colony Credit Real Estate Inc - Class A",1222362599.28,9.42
"CVII","Churchill Capital Corp VII - Class A",1221250000,9.77
"STNG","Scorpio Tankers Inc",1218794224.06,20.98
"AGRO","Adecoagro SA",1217542351.38,10.38
"PLYA","Playa Hotels & Resorts N.V.",1216279298.625,7.415
